,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.08,28.12,79,72,9.29,MV,1607109734
1,lazaro cardenas,17.96,-102.2,28.96,57,75,3.41,MX,1607109734
2,leh,34.17,77.58,-7.29,82,99,0.66,IN,1607109734
3,bathurst,-33.42,149.58,8.33,84,10,0.45,AU,1607109626
4,atuona,-9.8,-139.03,25.7,72,21,8.33,PF,1607109734
5,oranjestad,12.52,-70.03,29.0,66,20,8.7,AW,1607109465
6,jamestown,42.1,-79.24,5.56,69,90,7.2,US,1607109536
7,puerto ayora,-0.74,-90.35,25.0,65,75,5.1,EC,1607109735
8,tuktoyaktuk,69.45,-133.04,-14.0,71,20,5.7,CA,1607109735
9,hobart,-42.88,147.33,11.0,62,90,1.0,AU,1607109501
10,waddan,29.16,16.14,17.93,36,0,3.28,LY,1607109735
11,new norfolk,-42.78,147.06,9.44,68,81,0.28,AU,1607109735
12,mar del plata,-38.0,-57.56,15.0,51,40,7.2,AR,1607109735
13,fort nelson,58.81,-122.7,-8.0,92,75,1.5,CA,1607109735
14,lagoa,39.05,-27.98,15.21,82,100,7.41,PT,1607109735
15,saldanha,-33.01,17.94,23.0,46,58,5.1,ZA,1607109617
16,provideniya,64.38,-173.3,-9.7,88,0,2.26,RU,1607109736
17,beloha,-25.17,45.05,20.93,77,99,3.6,MG,1607109736
18,tamale,9.4,-0.84,31.28,20,20,1.19,GH,1607109736
19,polyarnyye zori,67.37,32.5,-3.33,2,100,3.58,RU,1607109736
20,busselton,-33.65,115.33,13.58,68,74,3.25,AU,1607109736
21,mataura,-46.19,168.86,12.22,72,94,2.24,NZ,1607109736
22,cidreira,-30.18,-50.21,22.67,66,0,5.55,BR,1607109736
23,karasjok,69.47,25.51,0.0,96,75,13.4,NO,1607109736
24,airai,-8.93,125.41,17.16,100,97,0.2,TL,1607109736
25,castro,-24.79,-50.01,21.65,88,100,2.95,BR,1607109737
26,carnarvon,-24.87,113.63,20.0,77,70,9.8,AU,1607109737
27,bartica,6.4,-58.62,32.0,59,40,6.2,GY,1607109737
28,rawson,-43.3,-65.1,18.6,29,78,7.34,AR,1607109646
29,ushuaia,-54.8,-68.3,12.0,50,75,9.3,AR,1607109665
30,albany,42.6,-73.97,10.56,39,99,3.05,US,1607109638
31,tuatapere,-46.13,167.68,12.22,72,96,2.24,NZ,1607109737
32,zhigansk,66.77,123.37,-19.91,91,98,6.06,RU,1607109737
33,punta arenas,-53.15,-70.92,15.0,38,40,11.8,CL,1607109635
34,tsiroanomandidy,-18.77,46.03,22.53,85,100,1.65,MG,1607109737
35,hermanus,-34.42,19.23,17.78,73,100,2.68,ZA,1607109737
36,bredasdorp,-34.53,20.04,18.0,63,23,6.2,ZA,1607109738
37,pietersburg,-23.9,29.47,20.0,82,21,5.7,ZA,1607109738
38,hilo,19.73,-155.09,25.0,88,75,2.1,US,1607109738
39,tasiilaq,65.61,-37.64,-7.0,85,75,3.42,GL,1607109738
40,avarua,-21.21,-159.78,28.0,78,2,3.1,CK,1607109482
41,mana,5.66,-53.78,28.59,71,0,4.42,GF,1607109738
42,ancud,-41.87,-73.82,18.0,45,0,4.1,CL,1607109738
43,henties bay,-22.12,14.28,16.67,80,6,1.49,NA,1607109738
44,kodiak,57.79,-152.41,-3.0,68,90,3.6,US,1607109738
45,kashan,33.98,51.44,11.08,56,40,1.49,IR,1607109738
46,comodoro rivadavia,-45.87,-67.5,19.0,32,0,7.7,AR,1607109738
47,acapulco,16.86,-99.89,30.0,66,90,2.6,MX,1607109739
48,puerto triunfo,5.87,-74.64,31.24,58,100,1.51,CO,1607109739
49,puro,12.48,123.38,26.75,83,100,2.72,PH,1607109739
50,port elizabeth,-33.92,25.57,17.0,67,90,5.1,ZA,1607109462
51,kirovskiy,45.09,133.51,-11.4,94,15,2.08,RU,1607109739
52,los llanos de aridane,28.66,-17.92,19.0,77,40,6.7,ES,1607109739
53,vardo,70.37,31.11,-1.0,86,75,14.4,NO,1607109739
54,sarangani,5.4,125.46,28.6,74,95,5.73,PH,1607109739
55,khatanga,71.97,102.5,-10.66,96,100,6.97,RU,1607109740
56,torbay,47.67,-52.73,5.56,80,75,4.6,CA,1607109740
57,kapaa,22.08,-159.32,24.0,83,1,6.7,US,1607109740
58,shahpur,16.7,76.83,20.07,74,10,2.01,IN,1607109740
59,alekseyevskaya,50.29,42.18,-11.11,78,0,4.45,RU,1607109740
60,mahebourg,-20.41,57.7,25.0,83,40,2.6,MU,1607109740
61,kuopio,62.89,27.68,-1.0,86,90,5.7,FI,1607109740
62,nelson bay,-32.72,152.15,19.44,100,75,2.6,AU,1607109740
63,esperance,-33.87,121.9,15.0,77,75,8.2,AU,1607109741
64,nyurba,63.28,118.33,-19.54,91,100,2.96,RU,1607109741
65,barrow,71.29,-156.79,-11.0,78,90,7.2,US,1607109741
66,oktyabrskiy,54.48,53.47,-15.32,91,8,1.3,RU,1607109741
67,bella union,-30.28,-57.6,26.1,44,9,6.64,UY,1607109741
68,krasnoselkup,65.7,82.47,-9.52,96,100,8.6,RU,1607109741
69,cherskiy,68.75,161.3,-23.3,76,3,1.46,RU,1607109741
70,qaanaaq,77.48,-69.36,-25.72,72,0,2.04,GL,1607109741
71,dikson,73.51,80.55,-0.72,98,100,9.34,RU,1607109741
72,port alfred,-33.59,26.89,16.3,70,53,5.63,ZA,1607109741
73,cape town,-33.93,18.42,20.0,59,0,8.7,ZA,1607109629
74,pembroke,45.82,-77.12,2.22,93,90,2.1,CA,1607109576
75,camana,-16.62,-72.71,21.48,59,50,3.2,PE,1607109610
76,naze,28.37,129.48,18.0,77,90,9.3,JP,1607109742
77,brae,60.4,-1.35,7.0,81,75,8.7,GB,1607109742
78,vaini,-21.2,-175.2,26.0,78,75,4.1,TO,1607109742
79,aquidaba,-10.28,-37.02,29.94,55,18,7.63,BR,1607109742
80,ponta do sol,32.67,-17.1,17.0,59,20,2.6,PT,1607109742
81,kargasok,59.06,80.86,-18.18,94,58,1.38,RU,1607109742
82,chany,55.31,76.76,-17.5,94,59,1.9,RU,1607109742
83,nemuro,43.32,145.57,1.85,80,0,7.71,JP,1607109742
84,sirohi,24.88,72.87,18.97,33,0,1.54,IN,1607109742
85,sasaram,24.95,84.01,17.58,36,0,1.64,IN,1607109742
86,mount isa,-20.73,139.5,24.0,47,100,1.0,AU,1607109743
87,yerbogachen,61.28,108.01,-21.9,89,31,2.99,RU,1607109743
88,rikitea,-23.12,-134.97,25.24,71,99,4.2,PF,1607109743
89,itapirapua,-15.82,-50.61,36.51,26,99,2.12,BR,1607109743
90,nikolskoye,59.7,30.79,0.0,95,90,4.0,RU,1607109743
91,port keats,-14.25,129.55,25.26,84,34,2.87,AU,1607109743
92,bluff,-46.6,168.33,12.22,72,80,2.24,NZ,1607109743
93,dannenberg,53.1,11.09,2.22,89,99,2.24,DE,1607109743
94,bishop auckland,54.66,-1.68,5.0,85,100,2.24,GB,1607109743
95,longyearbyen,78.22,15.64,-13.0,71,75,0.7,SJ,1607109705
96,lexington,37.99,-84.48,6.67,93,90,2.26,US,1607109469
97,souillac,-20.52,57.52,25.0,83,40,2.6,MU,1607109743
98,sao filipe,14.9,-24.5,24.5,78,100,3.24,CV,1607109743
99,seymchan,62.88,152.43,-31.04,85,54,0.23,RU,1607109744
100,saint-philippe,-21.36,55.77,26.0,78,20,1.0,RE,1607109744
101,port augusta,-32.5,137.77,28.89,21,89,8.2,AU,1607109744
102,meulaboh,4.14,96.13,25.24,87,100,1.96,ID,1607109744
103,abasolo,20.45,-101.52,21.0,46,75,5.1,MX,1607109744
104,severnyy,50.68,36.55,-2.0,92,90,7.0,RU,1607109744
105,pisco,-13.7,-76.22,22.0,73,0,4.1,PE,1607109735
106,arraial do cabo,-22.97,-42.03,31.0,62,40,3.6,BR,1607109744
107,pochutla,15.74,-96.47,31.0,58,40,2.79,MX,1607109744
108,atasu,48.68,71.64,-21.9,92,100,0.98,KZ,1607109744
109,butaritari,3.07,172.79,27.2,82,58,6.4,KI,1607109744
110,kieta,-6.22,155.63,25.46,73,100,1.6,PG,1607109744
111,asyut,27.18,31.18,17.0,45,0,3.1,EG,1607109745
112,husavik,66.04,-17.34,-5.0,79,90,5.7,IS,1607109745
113,san cristobal,7.77,-72.22,28.0,69,40,4.1,VE,1607109571
114,springdale,36.19,-94.13,9.44,57,1,4.6,US,1607109745
